median_annual_salary_gbp,SuperSkill_Basic_Data_Science,SuperSkill_BI_DataViz,SuperSkill_Statistical_Analysis_Reporting,SuperSkill_Cloud-Enabled_AI_BI,SuperSkill_SQL_Analytics_&_Automation,SuperSkill_AI_Cloud_Excel,SuperSkill_Cloud_Augmented_Analysis,SuperSkill_Cloud_Analytics_Econometrics,SuperSkill_Python_Data_Products,SuperSkill_Cloud_Engineering_MLOps,SuperSkill_BI_&_DataViz,SuperSkill_R_StatScience_&_BI,region_East Midlands (England),region_East of England,region_Isle of Man,region_London,region_North East (England),region_North West (England),region_Northern Ireland,region_Remote,region_Scotland,region_South East (England),region_South West (England),region_Wales,region_Yorkshire and The Humber,kmeans_job_archetype_AI Strategist,kmeans_job_archetype_BI Visualization Specialist (Power BI Focus),kmeans_job_archetype_Classic Data Scientist (Stats & Modeling Focus),kmeans_job_archetype_Cloud & Data Engineer,kmeans_job_archetype_Machine Learning & AI Specialist,kmeans_job_archetype_Noise / General Business Role,kmeans_job_archetype_SQL Developer,seniority_Manager/Director,seniority_Mid-Level,seniority_Senior
61817.6,0.615555709985526,0.09632654891993345,-0.5980175765358592,0.007493305550277024,0.928320233911391,0.497008314237089,-0.3198066790594502,0.041788394274637305,0.3226249847505478,-0.7488619575686805,-0.32058341902255055,-0.5629583099442964,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
61422.4,0.615555709985526,0.09632654891993345,-0.5980175765358592,0.007493305550277024,0.928320233911391,0.497008314237089,-0.3198066790594502,0.041788394274637305,0.3226249847505478,-0.7488619575686805,-0.32058341902255055,-0.5629583099442964,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
49500.0,-0.5943452735241395,-0.04153766059850325,-0.027883436600416638,-0.11371789605547056,-0.04058014745376431,-0.08437032759254118,-0.08666192028610994,-0.02340265313318658,-0.024260787758927694,0.04088201397635253,0.018407742279440163,0.02078014638499063,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
47500.0,0.1964344045153279,0.9847166040242196,-0.24044357225921686,0.7676238654606398,-0.1987351995439745,-0.27399382292204544,0.030809981625356253,0.5899846249257362,0.04171115375507131,0.2808188417107932,-0.12202334439668014,-0.29229396007598746,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
46500.0,0.1844395015692425,0.8041515265017143,-0.29828472721606725,0.4932751965483122,-0.0809413568143576,-0.07465881797938656,0.049684478485335304,-0.1661184260492333,0.01031541207016574,-0.025484264290434565,0.5470377993079526,0.35266816726782196,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
63500.0,-0.18234386733719732,-0.7582387187594302,0.2547928825063032,0.3324846852045775,-0.05372371339811517,-0.2080418207193299,0.15711506431616987,-0.1751001870519922,0.46904881604018106,-0.7433399204885943,-0.28774894702852044,-0.0858465450721568,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
62000.0,0.8106993193486003,0.8497493973475475,-0.4681992749917804,0.2666587868986249,-0.24018769674697213,-0.021375127269699035,-0.3017783860141986,0.32029605662004695,0.09516534667123507,0.46975882584269646,-0.5724517488586944,-0.4010574815937773,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
61817.6,0.615555709985526,0.09632654891993345,-0.5980175765358592,0.007493305550277024,0.928320233911391,0.497008314237089,-0.3198066790594502,0.041788394274637305,0.3226249847505478,-0.7488619575686805,-0.32058341902255055,-0.5629583099442964,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
61817.6,-0.21215855149863355,-0.582904599266094,0.28495666334702346,0.15948954211349398,0.08428562054287755,0.13881567133132472,-0.09894033654508895,0.3800004136788265,-0.4061131599540812,-0.7562555987255862,0.14865574861428574,-0.3286209326458116,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
61422.4,-0.469709713334852,-0.47179944220519365,-0.07375152172003038,0.3709832421313851,0.16410129769382367,0.2997289798312842,-0.21809199288844458,0.03362192243864602,0.024603646539888165,-0.470900163391258,-0.16093600067463912,-0.008037818323946365,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
