Data Source,Data Author,Date Posted,Job Title,Company Name,Location,Salary,Job Description,search_keyword,City,Country,Region,salary_currency,salary_min,salary_max,salary_period,salary_source,salary_standardized,median_annual_salary_gbp
Glassdoor,Tom,,Senior Data Scientist,PFF,"London, England",£200K(Employer Est.),"Job Location: RemotePFF is a world leader in the collection, analysis, and application of sports data. With clients spanning the majority of the professional and college football landscapes, as well as many media entities and other sports fans at large, our employees have the opportunity to drive changes in the way sports are played and consumed by coaches, athletes and consumers.Toward these aims, our team is looking for data scientists who excel at solving a variety of problems and getting those solutions into production in our enterprise football product.Role RequirementsEvaluation of, and contribution toward, the continual improvement of our existing work.Identifying relevant new research topics whose solutions will add value to our products.Performing the necessary research toward solutions for problems posed by both our data science team itself and by other stakeholders.Collaborating with other developers and product owners to build the products and features that result from the above research.Disseminating generated insights to a wide variety of stakeholders.Building and deploying product-ready models to consumers at scale, using industry leading best practices.Successful applicants will have 5+ years of experience in performing the above tasks, whether professionally or as demonstrated with a portfolio of past work. Experience working in sports-related data science is preferred but not required.5+ years of statistical modeling and machine learning experience is required.Expert grasp of software architecture, development practices and tools is required.Experience building, testing, deploying and maintaining predictive AI/ML models at scale and in production environments is required.Python proficiency is required.SQL proficiency is desirable.Comfort level using distributed version control like Git is required.Experience with football play-level data and player tracking data is preferred.Excellent communication and collaboration skills are required.",data-scientist,London,England,London,GBP,200000,200000,annual,Employer Est.,"GBP 200,000 (annual)",200000
Glassdoor,Tom,,Data Scientist,Wave,"London, England",£149K(Employer Est.),"Our missionWe're making Africa the first cashless continent.In 2017, over half the population in Sub-Saharan Africa had no bank account. That's for good reason—the fees are too high, the closest branch can be miles away, and nobody takes cards. Without access to financial institutions, people are forced to keep their savings under the mattress. Small business owners rely on lenders who charge extortionate rates. Parents spend hours waiting in line to pay school fees in cash.We're solving this by building financial services that just work: no account fees, instantly available, and accepted everywhere. In places where electricity, water and roads don't always work, you can still send money with Wave. In 2017, we launched a mobile app in Senegal for cash deposit, withdrawal, and peer-to-peer and business payments. Now, we have millions of users across six countries and are growing fast.Our goal is to make Africa the first cashless continent and that's where you come in...How you'll help us achieve itWave is now the largest financial institution in Senegal, with over 7 million users. And, we're still in the early days of our product roadmap and potential impact on people's everyday lives.We're looking for an experienced Data Scientist and help grow and strengthen our user base. You'll work on high-impact use cases with millions of users, such as optimizing our existing scratch card rewards program or designing and launching entirely new initiatives from scratch.The technical challenges range from crafting simple heuristics when data is sparse to applying advanced techniques like geospatial analytics, network analysis, and uplift modeling. You'll own the full cycle: defining the right approach, implementing it, and shipping it in production.This role is highly experimentation-driven: you'll be able to rapidly test ideas, learn from real user feedback, and iterate quickly.We're looking for someone who is product-minded, hands-on, and pragmatic: a data scientist who sees beyond models and algorithms and thinks deeply about how data connects to intuitive user behavior and real-world impact.In this role you'll:Be part of a multidisciplinary team, working with engineers, data analysts, economists and a product manager.Focus on advanced analytics and machine learning problems, delivering them end-to-end independently.Prioritise work and shape your own approach in a way that maximises the positive impact on both users and the business.Engage not just with business metrics, but also collaborate closely with Operations teams to understand the real-world outcomes and impact of your work.Key DetailsYou can work remotely from anywhere (between UTC -5 and +2) with reliable Internet access.Wave covers travel once per year to one of our operating countries in Africa, as well as a yearly stipend of $1,200 to meet with coworkers.Our salaries are competitive and are calculated using a transparent formula. For this role, depending on your level and location, we offer a salary of up to $149,200 USD (paid in your local currency equivalent), plus a generous equity package.Major benefits:Subsidized health insurance for you and your dependents and retirement contributions (both vary from country to country).6 months of fully paid parental leave and subsidized fertility assistance.Flexible vacation, with most folks taking between 21-30 days exclusive of statutory holidays.$10,000 annual charitable donation matching.We're hiring for multiple Senior Data Analyst roles across different functions (Finance, Customer Support). Your final scope and responsibilities will be aligned to the team you join, and clearly outlined in your offer.RequirementsEducation and ExperienceMinimum Bachelor's degree in a quantitative field such as Statistics, Mathematics, Economics, Computer Science, Engineering, or a related discipline. A Master's or PhD is a plus.4+ years experience in applied data science or similar experience.Demonstrated experience with data analysis, machine learning and product A/B tests.Experience in using advanced analytics for optimising targeting, rewards or incentive programs is a big plus.Technical skillsProficiency in applying machine learning methods to solve business problems.Very strong Python skills with expertise in data manipulation, analysis and machine learning. Must be comfortable writing code that runs in production.Competent in SQL.Solid foundation in probability and statistics.You might be a good fit if youThrive on spotting key problems and finding the fastest, most effective solutions.Enjoy and excel at working on machine learning and statistics problems.Quickly build and validate proof-of-concept solutions, refining based on real-world feedback.Prefer pragmatic approaches but apply complex methods when the impact is worth it.Work iteratively, knowing when a project is ""good enough"" to avoid over-polishing.Communicate insights clearly to all audiences and make confident, data-driven recommendations.#LI-REMOTEOur teamWe have a rapidly growing in-country team in Senegal, Côte d'Ivoire, Mali, Burkina Faso, The Gambia, and Uganda, plus remote team members spread across the world.We're deeply passionate about our mission of bringing radically affordable financial services to the people who need them most.We foster autonomy for our employees. You'll own your projects at every stage, from understanding the problem to monitoring your solution in production.We raised the largest Series A in Africa in 2021. Our world-class investors, include Founders Fund, Sequoia Heritage, Stripe, Ribbit Capital, Y Combinator, and Partech Africa.We are on Y Combinator's top companies by revenue.How to applyFill out the form below, and upload a resume in English and a cover letter describing your interest in Wave and the role.We review applications frequently and recommend that you apply to the role that most closely aligns with your skills, experience and career goals.Wave is an equal-opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.",data-scientist,London,England,London,GBP,149000,149000,annual,Employer Est.,"GBP 149,000 (annual)",149000
Glassdoor,Tom,,Data Scientist,Wave,"London, England",£149K(Employer Est.),"Our missionWe're making Africa the first cashless continent.In 2017, over half the population in Sub-Saharan Africa had no bank account. That's for good reason—the fees are too high, the closest branch can be miles away, and nobody takes cards. Without access to financial institutions, people are forced to keep their savings under the mattress. Small business owners rely on lenders who charge extortionate rates. Parents spend hours waiting in line to pay school fees in cash.We're solving this by building financial services that just work: no account fees, instantly available, and accepted everywhere. In places where electricity, water and roads don't always work, you can still send money with Wave. In 2017, we launched a mobile app in Senegal for cash deposit, withdrawal, and peer-to-peer and business payments. Now, we have millions of users across six countries and are growing fast.Our goal is to make Africa the first cashless continent and that's where you come in...How you'll help us achieve itWave is now the largest financial institution in Senegal, with over 7 million users. And, we're still in the early days of our product roadmap and potential impact on people's everyday lives.We're looking for an experienced Data Scientist and help grow and strengthen our user base. You'll work on high-impact use cases with millions of users, such as optimizing our existing scratch card rewards program or designing and launching entirely new initiatives from scratch.The technical challenges range from crafting simple heuristics when data is sparse to applying advanced techniques like geospatial analytics, network analysis, and uplift modeling. You'll own the full cycle: defining the right approach, implementing it, and shipping it in production.This role is highly experimentation-driven: you'll be able to rapidly test ideas, learn from real user feedback, and iterate quickly.We're looking for someone who is product-minded, hands-on, and pragmatic: a data scientist who sees beyond models and algorithms and thinks deeply about how data connects to intuitive user behavior and real-world impact.In this role you'll:Be part of a multidisciplinary team, working with engineers, data analysts, economists and a product manager.Focus on advanced analytics and machine learning problems, delivering them end-to-end independently.Prioritise work and shape your own approach in a way that maximises the positive impact on both users and the business.Engage not just with business metrics, but also collaborate closely with Operations teams to understand the real-world outcomes and impact of your work.Key DetailsYou can work remotely from anywhere (between UTC -5 and +2) with reliable Internet access.Wave covers travel once per year to one of our operating countries in Africa, as well as a yearly stipend of $1,200 to meet with coworkers.Our salaries are competitive and are calculated using a transparent formula. For this role, depending on your level and location, we offer a salary of up to $149,200 USD (paid in your local currency equivalent), plus a generous equity package.Major benefits:Subsidized health insurance for you and your dependents and retirement contributions (both vary from country to country).6 months of fully paid parental leave and subsidized fertility assistance.Flexible vacation, with most folks taking between 21-30 days exclusive of statutory holidays.$10,000 annual charitable donation matching.RequirementsEducation and ExperienceMinimum Bachelor's degree in a quantitative field such as Statistics, Mathematics, Economics, Computer Science, Engineering, or a related discipline. A Master's or PhD is a plus.4+ years experience in applied data science or similar experience.Demonstrated experience with data analysis, machine learning and product A/B tests.Experience in using advanced analytics for optimising targeting, rewards or incentive programs is a big plus.Technical skillsProficiency in applying machine learning methods to solve business problems.Very strong Python skills with expertise in data manipulation, analysis and machine learning. Must be comfortable writing code that runs in production.Competent in SQL.Solid foundation in probability and statistics.You might be a good fit if youThrive on spotting key problems and finding the fastest, most effective solutions.Enjoy and excel at working on machine learning and statistics problems.Quickly build and validate proof-of-concept solutions, refining based on real-world feedback.Prefer pragmatic approaches but apply complex methods when the impact is worth it.Work iteratively, knowing when a project is ""good enough"" to avoid over-polishing.Communicate insights clearly to all audiences and make confident, data-driven recommendations.#LI-REMOTEOur teamWe have a rapidly growing in-country team in Senegal, Côte d'Ivoire, Mali, Burkina Faso, The Gambia, and Uganda, plus remote team members spread across the world.We're deeply passionate about our mission of bringing radically affordable financial services to the people who need them most.We foster autonomy for our employees. You'll own your projects at every stage, from understanding the problem to monitoring your solution in production.We raised the largest Series A in Africa in 2021. Our world-class investors, include Founders Fund, Sequoia Heritage, Stripe, Ribbit Capital, Y Combinator, and Partech Africa.We are on Y Combinator's top companies by revenue.How to applyFill out the form below, and upload a resume in English and a cover letter describing your interest in Wave and the role.We review applications frequently and recommend that you apply to the role that most closely aligns with your skills, experience and career goals.Wave is an equal-opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.",data-scientist,London,England,London,GBP,149000,149000,annual,Employer Est.,"GBP 149,000 (annual)",149000
Glassdoor,Tom,,Head of Artificial Intelligence,Addition Solutions,"London, England",£140K(Employer provided),"We are currently recruiting on behalf of a leading start-up business set for significant growth for the role ofHead of AI. This is a rare opportunity to join an ambitious, fast-scaling company at a pivotal stage, where you’ll have the chance to shape the AI vision from the ground up.What you’ll be doing:Shape the direction of applied computer vision initiatives, tailored for widespread use across consumer goods and retail scenariosOversee the creation of models for object detection and identification,Enhance the synthetic data pipelines and training infrastructure by expanding coverage and boosting generalisationWork closely with Product, Infrastructure, and Customer teams to build flexible, high-efficiency visual AI tools that integrate into on-site operationsGuide and support a team of engineers who are focused on developing scalable model frameworksContribute to the architecture and rollout of a versatile large-scale vision model for retail use casesOptimise trade-offs between speed, size, and dependabilityMain Skills/ Requirements:Hands-on experience working with large vision modelsExperience in deploying ML models in real-world environments, preferably on mobile platforms or edge hardwareFamiliarity with synthetic datasets and high-capacity vision architecturesAbility to break down ambitious objectives into actionable engineering plansHow you’ll be rewarded:Hybrid Working25 Days Annual LeavePrivate MedicalEquity OptionsOpportunity to join a leading start-upThis is an excellent opportunity for an experienced Head of AI to join a growing company, that are driven towards success!For further information on this Head of AI position, apply below!We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.By applying you are confirming you are happy to be added to the Addition Solutions mailing list regarding future suitable positions. You can opt out of this at any time simply by contacting one of our consultants.Job Type: Full-timePay: £140,000.00 per yearBenefits:Private medical insuranceWork from homeApplication question(s):Do you have experience working with Large Vision Models?Work Location: In person",business-intelligence,London,England,London,GBP,140000,140000,annual,,"GBP 140,000 (annual)",140000
Glassdoor,Tom,,"Quantitative Modeling, Vice President",BlackRock Investments,"London, England",£120K - £160K(Glassdoor Est.),"Job descriptionAbout this roleThe Modeling and Research team is a diverse and global team with a keen interest and expertise in all things related to technology and financial analytics. The group is responsible for the research and development of quantitative financial models and tools across many different areas – single-security pricing, prepayment models, risk, return attribution, liquidity, optimization and portfolio construction, scenario analysis and simulations, etc. and covering all asset classes.The group is also responsible for the technology platform that delivers those models to our internal partners and external clients, and their integration with Aladdin. Modeling and Research also conducts leading research on the areas above, delivering state-of-the-art models. They also publish applied scientific research frequently, and our members present regularly at leading industry conferences. Modeling and Research engages constantly with the sales team in client visits and meetings.Key Responsibilities:The Modeling and Research team is looking for multiple quantitative researchers in various fields of expertise for roles across our teams. The researchers’ primary job responsibilities are to develop methodologies, models, and analytics to help portfolio and risk managers to better conduct valuation or manage risks and rewards at both security and portfolio level. We are specifically hiring for the following teams.The Portfolio Simulation Research teamThis team specifically is building out a new engine for the joint simulation of the global macro economy, drivers of financial markets, and individual assets. The team is building and connecting innovative models and methodologies across these spaces in a Bayesian framework. The engine is used in scenario analysis and portfolio construction / strategic asset allocation.Responsibilities for this team include:Doing theoretical research to come up with new, or find existing models and methodologies in the risk space, across multiple asset classes including private assetsDoing empirical research to calibrate new models to financial dataBacktesting, documenting, and guiding new models and methodologies through validationCommunicate with internal and external clients to identify industry-wide quantitative problems and collaborate with academics affiliated with BlackRock to explore solutionsCollaborate on papers for publication, presenting original research at industry conferences, and speaking with institutional clients about relevant research.Additional job responsibilities may include working with portfolio management teams on bespoke projects supporting their investment processes or working with financial advisory teams on modeling projects for bespoke products.For the simulation team, the requirements are:PhD/Master in Finance, Statistics/Econometrics, Economics or other relevant quantitative disciplinesA minimum of 5+ years’ experience in quantitative modeling and analytics.Experience in people management is a plus but not requiredExperience in private market modeling / private cashflow modeling is a plusDemonstrated ability to conduct high quality empirical research or theoretical research relevant for empirical analysis. Knowledge of financial mathematics (derivatives pricing). Experience with Bayesian or experience with machine learningAble to communicate quantitative information and collaborate effectively in a team environmentAble to communicate with internal stakeholders and external clientsSolid programming skills in Python and a drive and ability to quickly pick up new technologies. Exposure to Git, Unix, SQL, or any high-performance computing language is a plus but not required. Exposure to PyTorch/Jax is a plus but not requiredOur benefitsTo help you stay energized, engaged and inspired, we offer a wide range of employee benefits including: retirement investment and tools designed to help you in building a sound financial future; access to education reimbursement; comprehensive resources to support your physical health and emotional well-being; family support programs; and Flexible Time Off (FTO) so you can relax, recharge and be there for the people you care about.Our hybrid work modelBlackRock’s hybrid work model is designed to enable a culture of collaboration and apprenticeship that enriches the experience of our employees, while supporting flexibility for all. Employees are currently required to work at least 4 days in the office per week, with the flexibility to work from home 1 day a week. Some business groups may require more time in the office due to their roles and responsibilities. We remain focused on increasing the impactful moments that arise when we work together in person – aligned with our commitment to performance and innovation. As a new joiner, you can count on this hybrid model to accelerate your learning and onboarding experience here at BlackRock.About BlackRockAt BlackRock, we are all connected by one mission: to help more and more people experience financial well-being. Our clients, and the people they serve, are saving for retirement, paying for their children’s educations, buying homes and starting businesses. Their investments also help to strengthen the global economy: support businesses small and large; finance infrastructure projects that connect and power cities; and facilitate innovations that drive progress.This mission would not be possible without our smartest investment – the one we make in our employees. It’s why we’re dedicated to creating an environment where our colleagues feel welcomed, valued and supported with networks, benefits and development opportunities to help them thrive.For additional information on BlackRock, please visit @blackrock | Twitter: @blackrock | LinkedIn: www.linkedin.com/company/blackrockBlackRock is proud to be an Equal Opportunity Employer. We evaluate qualified applicants without regard to age, disability, race, religion, sex, sexual orientation and other protected characteristics at law.Job Requisition #R253272",econometrics,London,England,London,GBP,120000,160000,annual,Glassdoor Est.,"GBP 120,000 - 160,000 (annual)",140000
Glassdoor,Tom,,"Quantitative Researcher, Short-Term Macro",Millennium Management,"London, England",£140K(Glassdoor Est.),"Quantitative Researcher, Short-Term MacroJob Description: Quantitative Researcher, Short-Term MacroPlease direct all resume submissions to QuantTalentEUR@mlp.com and referenceREQ-11707in the subject.Job DescriptionQuantitative Researcher as part of a thriving, dynamic, collaborative, multiple-award-winning team based in London, with a focus on systematic, short-term macro strategies in futures and currency marketsLocationLondonPrincipal ResponsibilitiesIdea generation based on thorough understanding of academic literature and financial market insightsResearch and develop short/medium-term systematic trading signals in futures/FX marketsCollaborate with the PM and the trading group in a transparent environment, engaging with all areas of model design, portfolio construction, risk management and market accessDevelop and enhance the team’s proprietary research platformStay current on state-of-the-art technologies and tools including technical libraries, computing environments, alternative datasets, and academic researchPreferred Technical SkillsHighly skilled in at least one of the scripting languages (Python, Matlab, R), preferably in PythonMaster degree or equivalent in Economics/Finance, Statistics, Applied Mathematics, Computer Science, or related STEM fieldPhD research experience/publication in Economics/Finance, Statistics, Applied Mathematics, Computer Science, or related STEM field, is a plusDemonstrate abstract reasoning mindset and independent problem-solving skillsExcellent communication skillsPreferred Experience2+ years of experience working in a quantitative research positionInnovation in signal research and developmentSuccessful experiences in exploring and working with large and diverse data setsHighly Valued Relevant ExperienceExperience in exploring, researching, and deploying trading signals from various sources of alternative data spanning major asset classesExperience in quantitative finance, econometrics, asset pricing, or macro sub-fieldsMacro markets (Equity indices, Currencies, Commodities, Fixed Income) experience is a plusTarget Start DateAs soon as possiblePlease direct all resume submissions to QuantTalentEUR@mlp.com and referenceREQ-11707in the subject.",econometrics,London,England,London,GBP,140000,140000,annual,Glassdoor Est.,"GBP 140,000 (annual)",140000
Glassdoor,Tom,,Senior Quantitative Researcher - Market Impact,Millennium Management,"London, England",£140K(Glassdoor Est.),"Senior Quantitative Researcher - Market ImpactThe Central Liquidity Strategies (CLS) business manages a number of portfolios and products designed to optimize the firm’s trading and execution approach by providing internal liquidity solutions for portfolio managers on both a risk and agency basis.We are currently seeking a Senior Quantitative Researcher with a focus on market impact modelling. The ideal candidate will have significant experience with this topic both academically and practically, including a strong awareness of the latest academic research, experience in fitting these models in real-world scenarios, and challenges including data and potential biases.Principal ResponsibilitiesThe successful candidate will be expected to:Research the applicability of various market impact models to a variety business flowsBuild fitting tools and analytics to support the research process and model calibrationPartner with PM / trading stakeholders to implement models into the portfolio construction processResearch models applicable to asset classes outside of EquitiesQualifications/Skills RequiredBachelor's degree in Mathematics, Statistics, Physics, Finance, Economics, Econometrics, Financial Engineering, Operations Research or similar3+ years’ experience in a Quantitative Research / Quantitative Trading role with a significant or exclusive focus on market-impact research / fittingExcellent analytical and quantitative skillsExcellent communication skills, with the ability to work effectively in a team environmentAbility to use Python / KDB for analytical / research purposes",econometrics,London,England,London,GBP,140000,140000,annual,Glassdoor Est.,"GBP 140,000 (annual)",140000
Glassdoor,Tom,,Machine Learning Engineer,Noir Consulting,"London, England",£90K - £160K(Employer Est.),"Machine Learning Engineer - SaaS - London(Tech stack: Machine Learning Engineer, Python, TensorFlow, PyTorch, scikit-learn, Keras, Natural Language Processing (NLP), Hugging Face Transformers, Pandas, NumPy, Jupyter Notebooks, Matplotlib, Seaborn, Flask (for building APIs), FastAPI, Docker, MLflow, DVC (Data Version Control), AWS SageMaker, Azure Machine Learning, Google Cloud AI Platform, TensorFlow Serving, ONNX (Open Neural Network Exchange)We have several exciting new positions available for Machine Learning Engineers to join a forward-thinking AI company. This is your opportunity to collaborate with top talent in the field of artificial intelligence. Their latest AI advancements have redefined industry norms and empowered businesses to implement cutting-edge, personalized, and scalable AI solutions. Leveraging state-of-the-art technology, we are reshaping the landscape of AI, offering innovative models that exceed current industry benchmarks. Come aboard our team and help shape the future of machine learning and AI.Our client is looking for passionate Machine Learning Engineer candidates with experience in some or all of the following (full training will be provided to fill any gaps in your skill set): Machine Learning Engineer, Python, TensorFlow, PyTorch, scikit-learn, Keras, Natural Language Processing (NLP), Hugging Face Transformers, Pandas, NumPy, Jupyter Notebooks, Matplotlib, Seaborn, Flask (for building APIs), FastAPI, Docker, MLflow, DVC (Data Version Control), AWS SageMaker, Azure Machine Learning, Google Cloud AI Platform, TensorFlow Serving, ONNX (Open Neural Network Exchange)This is your chance to contribute to an innovative, technically demanding project focused on developing a cutting-edge machine learning application from the ground up. The field of artificial intelligence is rapidly advancing, and our clients are emerging as frontrunners in this dynamic market!Location: London/ Hybrid WorkingSalary: £90,000 - £150,000 + Bonus + BenefitsTo apply for this position please send your CV to Sunny Bhalla at Noir.Applicants must be based in the UK and have the right to work in the UK.NOIRUKTECHRECNOIRUKREC",data-scientist,London,England,London,GBP,90000,160000,annual,Employer Est.,"GBP 90,000 - 160,000 (annual)",125000
Glassdoor,Tom,,"Senior Analyst - BCG Vantage, Corporate Finance & Strategy",Boston Consulting Group,"London, England",£114K - £127K(Glassdoor Est.),"Who We AreBoston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total transformation-inspiring complex change, enabling organizations to grow, building competitive advantage, and driving bottom-line impact.To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.What You'll DoAs a Senior Analyst within BCG’s Corporate Finance & Strategy practice (CFS) and its Center for CFO Excellence (CFOx) team, you will work in a growing global team, delivering value to clients in all aspects of CFO related products and opportunities, from value creation strategy to performance management, digital finance and lean/agile working culture in finance.This would entail issues such as defining the role of the finance organization, transforming the finance function to be efficient & effective, control finance costs, ability to steer and make relevant decisions, enablement of value creation and the facilitation of corporate planning decisions, including measures to align corporate, financial and investor strategies.What You'll Bring2+ years consulting experience in at least one of the following areas required: management consulting, financial management, controlling & reporting, treasury, accounting & audit, corporate development; candidates with consulting experience strongly preferredIn lieu of consulting experience, 3+ years minimum industry experience required; 4-6+ years of industry experience strongly preferredBachelor's degree in business administration, corporate finance, accounting, mathematics etc. or other equivalent areas required (advanced degree preferred)Academic achievements and / or CPA, with a management consulting backgroundConfident client presence and relationship-building skillsEffective written & verbal communicationStrong analytical and problem-solving skillsStrong work ethic & service-oriented mind-setAbility to multi-task in a fast-paced environmentStrong interpersonal skills and credibilityCollaborative team player and pro-active self-starterAbility to maintain discretion when neededYou are good atCandidates should have experience and/or knowledge related to at least one of the following areas: finance organization (including shared services), finance transformation, external and internal reporting, corporate governance, performance management, planning, budgeting and target setting, corporate risk management or similar.The Senior Analyst is expected to be familiar with financial and non-financial benchmarking analyses, including analyses regarding profitability, capital structure, liquidity, and cash flow performance. The candidate should have deep end to end expertise in at least 2 finance process towers such as Record to Report, Order to Cash, Procure to Pay, Financial Planning & Analysis, Cash & Banking / Treasury, Payroll, Fixed Assets, etc.As a Senior Analyst on the Client-Focused track, the candidate will be deployed in client engagements with core consulting teams to identify and analyze client challenges, provide customized knowledge of best-in-class practices as domain expert, develop solutions to address critical client issues, and chart a path for the client to constantly enhance performance. The candidate is expected to demonstrate excellent communication, high-quality analytical skills, and ability to deliver client ready analyses and insights.The candidate will work also with topic team to collaborate, develop and maintain new knowledge materials related to CFOx topic based on emerging trends and gaps identified by consulting teams. The candidate will collaborate across the topic to build tools, analyses and insights to drive new ways of thinking and problem-solving.Who You'll Work WithCore Consulting TeamsStaffed as topic champion along with core consulting teams in client engagements by bringing in core domain expertiseOwn and drive successful completion of a module in client projectsProvide insight generation expertise during team discussions to frame and structure client issuesProvide problem solving and solutioning to drive improvements across client organizationEnhance client deliverables by conducting high-quality analyses and applying business judgementSuggests alternative or additional analyses to expand original scope and provide new insightDemonstrate good slide-writing and story-lining skills to generate client ready materialsConcise, synthesized and confident during discussions with project teams, running workshops with client teams and presenting analysis & findings to clientsDevelop effective relationships with senior project leadership to build strong demand as a topic champion for repeat staffingSupport proposal development by guiding consulting teams on transformation approach, BCG capabilities, past case credentials and expertsTopic TeamsBuild and update new topic-related customized knowledge productsControl the consistency of knowledge management databasesReviews knowledge products and ensures they are current and relevant and updates when appropriateWrites abstracts and indexes for projects and practice documentsAssisting in Practice Area intellectual capital development projects (studies, articles and other publicationsAdditional infoBCG Vantage is a powerhouse of expertise, seamlessly embedded within Practice Areas and markets to drive extraordinary impact. It equips BCG case teams and clients with cutting-edge expertise, proprietary assets, actionable data, and transformative insights that empower our case teams and enable our clients to achieve their aspirations.With global experts across 20 Practices, covering more than 100 topics, sectors and offers, plus four focused geographic markets, BCG Vantage delivers unparalleled depth and breadth of insight & expertise. BCG Vantage consists of three career paths, each playing a crucial role in delivering value to clients, case teams and practice teams.Client Focus (Embedded Expertise)Integrates into client-facing teams to deliver direct client impact through expertise, know-how, and proprietary tools and assetsTopic Activation (Sector Expertise with Proprietary Tool & Data Solutions)Combines deep domain insights with our know-how and proprietary assets to address targeted challenges directly with clients and project teams; co-creates insights on industry trends and functional topics, proprietary data and tools, and teams to codify IP that all enables BCG to deliver excellent business value with its clientsResearch (Practice Topic and Sector-Aligned Research and Insights)Delivers actionable research and insights tailored to the client project’s needs; works with qualitative and quantitative data, conducts research and provides synthesized results from sources including commercial data, public and open source, company and industry research, macro-economic, commodities and trade data.Boston Consulting Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity / expression, national origin, disability, protected veteran status, or any other characteristic protected under national, provincial, or local law, where applicable, and those with criminal histories will be considered in a manner consistent with applicable state and local laws.BCG is an E - Verify Employer. Click here for more information on E-Verify.",data-analyst,London,England,London,GBP,114000,127000,annual,Glassdoor Est.,"GBP 114,000 - 127,000 (annual)",120500
Glassdoor,Tom,,Data Management Analyst - 12 month contract,Schroders,"London, England",£120K(Glassdoor Est.),"Data Management AnalystBusiness Area:Public MarketsLocation:LondonJob title:Data Management Analyst, Public MarketsWho we're looking forAs a Data Management Analyst, you will report directly to the Head of Data for Public Markets. Your primary responsibility will be to support the Head of Data in gathering, analysing, and prioritising data requirements across the Public Markets Investment business. You will play a crucial role in enhancing data accessibility, quality, and reliability, working closely with various stakeholders, including teams within the Schroders Data Office and Global Technology and Operations.About SchrodersWe're a global investment manager. We help institutions, intermediaries and individuals around the world invest money to meet their goals, fulfil their ambitions, and prepare for the future.We have around 6,000 people on six continents. And we've been around for over 200 years but keep adapting as society and technology changes. What doesn't change is our commitment to helping our clients, and society, prosper.The baseWe moved into our new HQ in the City of London in 2018. We’re close to our clients, in the heart of the UK’s financial centre and we have everything we need to work flexiblyWhat you'll doData Requirements Gathering: Collaborate with stakeholders from Public Markets to collect, analyse, and document data requirements that align with business goals.Prioritisation and Analysis: Assist in prioritising data requests based on strategic importance and business impact, ensuring focus on high-value initiatives.Cross-Functional Support: Work collaboratively with Data, Technology, and Operations teams to facilitate data management practices, ensuring alignment of goals and efficient execution.Data Quality Improvement: Contribute to initiatives aimed at enhancing the quality, accessibility, and trustworthiness of data within Public Markets.Governance Support: Assist in implementing data governance frameworks and best practices, promoting adherence to policies and standards across the organisation.Stakeholder Engagement: Build and maintain effective relationships with key Public Markets stakeholders, actively engaging in discussions around data needs and providing insights into potential solutions.Innovation and Best Practices: Stay informed about emerging data technologies and best practices, providing recommendations for integrating innovative solutions into the Public Markets data strategy.Reporting and Metrics: Support the development of metrics and reporting mechanisms to monitor data-related initiatives, providing insights to senior leadership.ObjectivesGather and analyse data requirements effectively to support Public Markets teams.Prioritise data initiatives based on strategic alignment and business needs.Enhance data quality and accessibility through collaborative efforts.Promote adherence to data governance standards and best practices.Facilitate effective communication and collaboration across various stakeholders.The knowledge, experience and qualifications you needExperience: Relevant experience in data management or data analysis roles, with a focus on gathering and documenting requirements.Analytical Skills: Strong analytical and problem-solving skills, with an ability to leverage data-driven insights to inform decisions.Communication & Collaboration: Excellent verbal and written communication skills, coupled with a collaborative approach to working with diverse teams.Attention to Detail: Strong attention to detail and commitment to maintaining data integrity and accuracy.Curiosity and Learning: A proactive mindset with a willingness to learn about new data technologies and trends that can enhance data management practices.Technological Acumen: E experience of Collibra and data quality and lineage tooling. Familiarity with cutting-edge data technologies and trends, particularly in leveraging AI and platforms like Snowflake.Investment Insight: Experience with investment data and insights to drive business relevance.We recognise potential, whoever you areOur purpose is to provide excellent investment performance to clients through active management. Diversity of thought facilitated by an inclusive culture will allow us to make better decisions and better achieve our purpose. This is why inclusion and diversity are a strategic priority for us and why we are an equal opportunities employer: you are welcome here regardless of your age, disability, gender identity, religious beliefs, sexual orientation, socio-economic background or any other protected characteristics",business-analyst,London,England,London,GBP,120000,120000,annual,Glassdoor Est.,"GBP 120,000 (annual)",120000
